sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
11445,"SEAWEED,KELP,RAW",43,1.68,0.56,9.57,1.3,168,0.13,2.85,121,89,1.23,116,0,0.05,0.15,0.002,0,180,0.47,0.642,3,0.87,0,0.247,0.098,0.02,0
11446,"SEAWEED,LAVER,RAW",35,5.81,0.28,5.11,0.3,70,0.264,1.8,2,356,1.05,5202,0,0.098,0.446,0.159,0,146.3,1.47,0.521,39,1,0,0.061,0.025,0,0
11447,"SESBANIA FLOWER,RAW",27,1.28,0.04,6.73,0,19,0,0.84,12,184,0,0,0,0.083,0.081,0,0,102.2,0.43,0,73,0,0,0,0,0,0
11448,"SESBANIA FLOWER,CKD,STMD,WO_per_SALT",22,1.14,0.05,5.23,0,22,0,0.56,12,107,0,0,0,0.048,0.043,0,0,56.9,0.25,0,37,0,0,0,0,0,0
11450,"SOYBEANS,GREEN,RAW",147,12.95,6.8,11.05,4.2,197,0.128,3.55,65,620,0.99,180,0,0.435,0.175,0.065,0,165,1.65,0.147,29,0,0,0.786,1.284,2.823,0
11451,"SOYBEANS,GRN,CKD,BLD,DRND,WO_per_SALT",141,12.35,6.4,11.05,4.2,145,0.117,2.5,60,539,0.91,156,0,0.26,0.155,0.06,0,111,1.25,0.128,17,0.01,0,0.74,1.209,2.657,0
11452,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",122,13.09,6.7,9.57,1.1,67,0.427,2.1,72,484,1.17,11,0,0.34,0.118,0.176,0,172,1.148,0.929,15.3,0,0,0.929,1.518,3.338,0
11453,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",81,8.47,4.45,6.53,0.8,59,0.33,1.31,60,355,1.04,11,0,0.205,0.053,0.105,0,80,1.092,0.743,8.3,0.01,0,0.617,1.009,2.217,0
11454,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",125,13.1,7.1,9.4,0.8,82,0.527,0.4,96,567,2.1,17,0,0.42,0.19,0.168,0,127,1.1,1.186,12,0,0,0.985,1.609,3.537,0
11457,"SPINACH,RAW",22,2.86,0.35,3.5,2.7,99,0.13,2.71,79,558,0.53,6715,0,0.078,0.189,0.195,0,194.4,0.724,0.065,28.1,1.89,400,0.056,0.01,0.022,0
11458,"SPINACH,CKD,BLD,DRND,WO_per_SALT",23,2.97,0.26,3.75,2.4,136,0.174,3.57,87,466,0.76,8190,0,0.095,0.236,0.242,0,145.8,0.49,0.145,9.8,0.955,0,0.042,0.007,0.016,0
11459,"SPINACH,CND,REG PK,SOL&LIQUIDS",19,2.11,0.37,2.92,1.6,83,0.116,1.58,56,230,0.42,6432,0,0.018,0.106,0.08,0,58,0.271,0.038,13.5,1.072,0,0.06,0.01,0.023,0
11461,"SPINACH,CND,DRND SOL",23,2.81,0.5,3.4,2.4,127,0.18,2.3,76,346,0.46,8776,0,0.016,0.138,0.1,0,97.8,0.388,0.047,14.3,1.3,0,0.081,0.014,0.031,0
11463,"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",24,2.92,0.31,4,3,111,0.098,2.05,58,323,0.44,7758,0,0.084,0.153,0.14,0,119.6,0.438,0.085,24.3,0.955,0,0.051,0.009,0.02,0
11464,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO_per_SALT",28,3.14,0.21,5.34,3,146,0.141,1.52,69,298,0.7,7784,0,0.06,0.168,0.146,0,107.5,0.419,0.083,12.3,0.955,0,0.033,0.006,0.013,0
11467,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",19,0.94,0.24,4.04,1.9,21,0.102,0.48,21,212,0.29,338,0,0.052,0.043,0.109,0,22.9,0.454,0.102,8.4,0,0,0.049,0.018,0.038,0
11468,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,WO_per_SALT",20,0.91,0.31,4.31,1.4,27,0.103,0.36,24,192,0.39,287,0,0.049,0.049,0.094,0,20.1,0.513,0.137,5.5,0.12,0,0.064,0.023,0.049,0
11471,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO_per_SALT",13,0.61,0.07,2.96,1.4,12,0.08,0.71,13,96,0.29,121,0,0.016,0.027,0.042,0,10.4,0.418,0.048,2.7,0.12,0,0.015,0.005,0.011,0
11473,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",20,0.83,0.14,4.8,1.2,18,0.085,0.48,23,209,0.37,279,0,0.04,0.048,0.088,0,11.8,0.4,0.088,6.4,0.23,0,0.029,0.011,0.022,0
11474,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO_per_SALT",25,1.28,0.2,5.54,1.4,20,0.073,0.52,27,253,0.34,195,0,0.036,0.047,0.099,0,12.7,0.44,0.102,6.8,0.28,0,0.04,0.015,0.031,0
11475,"SQUASH,SUMMER,SCALLOP,RAW",18,1.2,0.2,3.84,0,19,0.102,0.4,23,182,0.29,110,0,0.07,0.03,0.109,0,30.1,0.6,0.102,18,0,0,0.041,0.015,0.031,0
11476,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO_per_SALT",16,1.03,0.17,3.3,1.9,15,0.083,0.33,19,140,0.24,85,0,0.051,0.025,0.085,0,20.7,0.464,0.079,10.8,0.12,0,0.035,0.013,0.027,0
11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",14,1.16,0.14,2.9,1.2,15,0.057,0.42,22,248,0.2,340,0,0.07,0.03,0.089,0,22.1,0.4,0.083,9,0.12,0,0.029,0.011,0.022,0
11478,"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO_per_SALT",16,0.64,0.05,3.93,1.4,13,0.086,0.35,22,253,0.18,240,0,0.041,0.041,0.078,0,16.8,0.428,0.114,4.6,0.12,0,0.01,0.004,0.008,0
11479,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP",17,1.16,0.13,3.59,1.3,18,0.05,0.51,13,218,0.21,484,0,0.048,0.042,0.05,0,9.9,0.433,0.297,5.3,0.3,0,0.027,0.01,0.021,0
11480,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO_per_SALT",17,1.15,0.13,3.56,1.3,17,0.047,0.48,13,194,0.2,432,0,0.041,0.04,0.045,0,7.8,0.386,0.265,3.7,0.3,0,0.027,0.01,0.021,0
11481,"SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND",29,1.03,0.11,6.85,0,17,0.098,0.68,14,274,0.26,539,0,0.042,0.04,0.152,0,30.2,0.528,0.274,2.3,0,0,0.023,0.008,0.017,0
11482,"SQUASH,WINTER,ACORN,RAW",40,0.8,0.1,10.42,1.5,33,0.065,0.7,32,347,0.13,340,0,0.14,0.01,0.154,0,16.7,0.7,0.4,11,0,0,0.021,0.007,0.016,0
11483,"SQUASH,WNTR,ACORN,CKD,BKD,WO_per_SALT",56,1.12,0.14,14.58,4.4,44,0.086,0.93,43,437,0.17,428,0,0.167,0.013,0.194,0,18.7,0.881,0.504,10.8,0,0,0.029,0.01,0.022,0
11484,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO_per_SALT",34,0.67,0.08,8.78,2.6,26,0.052,0.56,26,263,0.11,258,0,0.1,0.008,0.117,0,11.3,0.531,0.303,6.5,0,0,0.017,0.006,0.013,0
11485,"SQUASH,WNTR,BUTTERNUT,RAW",45,1,0.1,11.69,0,48,0.072,0.7,34,352,0.15,7800,0,0.1,0.02,0.154,0,26.7,1.2,0.4,21,0,0,0.021,0.007,0.016,0
11486,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO_per_SALT",40,0.9,0.09,10.49,0,41,0.065,0.6,29,284,0.13,7001,0,0.072,0.017,0.124,0,19.2,0.969,0.359,15.1,0,0,0.019,0.007,0.014,0
11487,"SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",57,1.76,0.1,14.41,1.3,29,0.051,0.88,14,212,0.17,4790,0,0.09,0.059,0.11,0,23.6,0.74,0.221,6.2,0.186,0,0.021,0.007,0.016,0
11488,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO_per_SALT",39,1.23,0.07,10.05,0,19,0.036,0.58,9,133,0.12,3339,0,0.05,0.039,0.069,0,16.4,0.464,0.154,3.5,0,0,0.014,0.005,0.011,0
11489,"SQUASH,WINTER,HUBBARD,RAW",40,2,0.5,8.7,0,14,0.064,0.4,19,320,0.13,5400,0,0.07,0.04,0.154,0,16.4,0.5,0.4,11,0,0,0.103,0.037,0.079,0
11490,"SQUASH,WNTR,HUBBARD,CKD,BKD,WO_per_SALT",50,2.48,0.62,10.81,0,17,0.045,0.47,22,358,0.15,6035,0,0.074,0.047,0.172,0,16.2,0.558,0.447,9.5,0,0,0.128,0.046,0.097,0
11491,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO_per_SALT",30,1.48,0.37,6.45,2.9,10,0.047,0.28,13,214,0.1,4005,0,0.042,0.028,0.103,0,9.7,0.334,0.297,6.5,0.12,0,0.076,0.028,0.058,0
11492,"SQUASH,WNTR,SPAGHETTI,RAW",31,0.64,0.57,6.91,0,23,0.037,0.31,12,108,0.19,50,0,0.037,0.018,0.101,0,12,0.95,0.36,2.1,0,0,0.117,0.042,0.09,0
11493,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO_per_SALT",27,0.66,0.26,6.46,1.4,21,0.035,0.34,11,117,0.2,110,0,0.038,0.022,0.099,0,8,0.81,0.355,3.5,0.12,0,0.062,0.022,0.047,0
11495,"SUCCOTASH,(CORN&LIMAS),RAW",99,5.03,1.02,19.59,3.8,18,0.186,1.83,48,369,0.61,292,0,0.208,0.082,0.13,0,39.9,1.587,0.128,15.1,0.405,0,0.19,0.198,0.412,0
11496,"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO_per_SALT",115,5.07,0.8,24.38,4.5,17,0.179,1.52,53,410,0.63,294,0,0.168,0.096,0.116,0,32.8,1.327,0.567,8.2,0,0,0.148,0.155,0.321,0
11497,"SUCCOTASH,(CORN&LIMAS),CND,W_per_CRM STYLE CORN",77,2.64,0.54,17.61,3,11,0.178,0.55,1,183,0.43,141,0,0.027,0.065,0.128,0,44.3,0.607,0.218,6.4,0,0,0.101,0.105,0.219,0
11499,"SUCCOTASH,(CORN&LIMAS),CND,W_per_WHL KERNEL CORN,SOL&LIQUIDS",63,2.6,0.49,13.98,2.6,11,0.109,0.53,19,163,0.5,146,0,0.029,0.058,0.049,0,31.7,0.64,0.309,4.6,0.928,0,0.092,0.096,0.2,0
11501,"SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP",93,4.31,0.89,19.94,4,16,0.063,0.94,24,295,0.47,257,0,0.087,0.072,0.1,0,41.6,1.375,0.258,8.5,0,0,0.166,0.173,0.361,0
11502,"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO_per_SALT",93,4.31,0.89,19.95,4.1,15,0.06,0.89,23,265,0.45,231,0,0.074,0.068,0.095,0,33.2,1.306,0.232,5.9,0.36,0,0.166,0.173,0.361,0
11503,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",19,2.6,0.2,3.14,2.1,77,0.023,1.67,71,312,0.18,6300,0,0.03,0.1,0.096,0,57.1,0.9,0.141,55,0,0,0,0,0,0
11504,"SWAMP CABBAGE,CKD,BLD,DRND,WO_per_SALT",20,2.08,0.24,3.71,1.9,54,0.021,1.32,30,284,0.16,5200,0,0.05,0.08,0.081,0,34.8,0.5,0.126,16,0.02,0,0.039,0.007,0.015,0
11505,"SWEETPOTATO LEAVES,RAW",35,4,0.3,6.38,2,37,0.037,1.01,61,518,0.29,1028,0,0.156,0.345,0.19,0,80,1.13,0.225,11,0,0,0.065,0.012,0.113,0
11506,"SWEETPOTATO LEAVES,CKD,STMD,WO_per_SALT",34,2.32,0.3,7.32,1.9,24,0.033,0.6,61,477,0.26,916,0,0.112,0.267,0.16,0,48.8,1.003,0.2,1.5,0.96,0,0.065,0.012,0.113,0
11507,"SWEETPOTATO,RAW",105,1.65,0.3,24.28,3,22,0.169,0.59,10,204,0.28,20063,0,0.066,0.147,0.257,0,13.8,0.674,0.591,22.7,0.28,0,0.064,0.011,0.111,0
11508,"SWEETPOTATO,CKD,BKD IN SKN,WO_per_SALT",103,1.72,0.11,24.27,3,28,0.208,0.45,20,348,0.29,21822,0,0.073,0.127,0.241,0,22.6,0.604,0.646,24.6,0.28,0,0.024,0.004,0.041,0
11510,"SWEETPOTATO,CKD,BLD,WO_per_SKN,WO_per_SALT",105,1.65,0.3,24.28,1.8,21,0.161,0.56,10,184,0.27,17054,0,0.053,0.14,0.244,0,11.1,0.64,0.532,17.1,0.28,0,0.064,0.011,0.111,0
11512,"SWEETPOTATO,CND,VACUUM PK",91,1.65,0.2,21.13,1.8,22,0.139,0.89,22,312,0.18,7983,0,0.037,0.057,0.19,0,16.6,0.741,0.523,26.4,0.25,4,0.043,0.008,0.075,0
11514,"SWEETPOTATO,CANNED,MASHED",101,1.98,0.2,23.2,1.7,30,0.278,1.33,24,210,0.21,15126,0,0.027,0.09,0.235,0,10.7,0.955,0.512,5.2,0.27,0,0.043,0.008,0.075,0
11516,"SWEETPOTATO,FRZ,UNPREP",96,1.71,0.18,22.22,1.7,37,0.177,0.53,22,365,0.31,18636,0,0.067,0.051,0.177,0,21.3,0.597,0.515,13.3,0.26,0,0.039,0.007,0.067,0
11517,"SWEETPOTATO,FRZ,CKD,BKD,WO_per_SALT",100,1.71,0.12,23.4,1.8,35,0.183,0.54,21,377,0.3,16410,0,0.066,0.056,0.186,0,22.3,0.555,0.56,9.1,0.27,0,0.026,0.005,0.045,0
11518,"TARO,RAW",112,1.5,0.2,26.46,4.1,43,0.172,0.55,33,591,0.23,0,0,0.095,0.025,0.283,0,22.2,0.6,0.303,4.5,2.38,0,0.041,0.016,0.058,0
11519,"TARO,COOKED,WITHOUT SALT",142,0.52,0.11,34.6,5.1,18,0.201,0.72,30,484,0.27,0,0,0.107,0.028,0.331,0,19.2,0.51,0.336,5,0.44,0,0.023,0.009,0.032,0
11520,"TARO LEAVES,RAW",42,4.98,0.74,6.71,3.7,107,0.27,2.25,45,648,0.41,4825,0,0.209,0.456,0.146,0,125.7,1.513,0.084,52,2.016,0,0.151,0.06,0.214,0
11521,"TARO LEAVES,CKD,STMD,WO_per_SALT",24,2.72,0.41,4.02,2,86,0.14,1.18,20,460,0.21,4238,0,0.139,0.38,0.072,0,48.3,1.267,0.044,35.5,0,0,0.083,0.033,0.117,0
11522,"TARO SHOOTS,RAW",11,0.92,0.09,2.32,0,12,0.088,0.6,8,332,0.51,50,0,0.04,0.05,0.111,0,3.3,0.8,0.075,21,0,0,0.018,0.007,0.026,0
11523,"TARO SHOOTS,CKD,WO_per_SALT",14,0.73,0.08,3.2,0,14,0.094,0.41,8,344,0.54,51,0,0.038,0.053,0.112,0,2.6,0.81,0.076,18.9,0,0,0.016,0.006,0.023,0
11525,"TARO,TAHITIAN,RAW",44,2.79,0.97,6.91,0,129,0.071,1.3,47,606,0.09,2045,0,0.062,0.244,0.116,0,9.1,0.995,0.124,96,0,0,0.197,0.078,0.279,0
11526,"TARO,TAHITIAN,CKD,WO_per_SALT",44,4.16,0.68,6.85,0,149,0.076,1.56,51,623,0.1,1764,0,0.044,0.198,0.117,0,7.2,0.48,0.126,38,0,0,0.139,0.055,0.196,0
11527,"TOMATOES,GREEN,RAW",24,1.2,0.2,5.1,1.1,13,0.09,0.51,10,204,0.07,642,0,0.06,0.04,0.081,0,8.8,0.5,0.5,23.4,0.38,0,0.028,0.03,0.078,0
11529,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",21,0.85,0.33,4.64,1.1,5,0.074,0.45,11,222,0.09,623,0,0.059,0.048,0.08,0,15,0.628,0.247,19.1,0.38,6,0.045,0.05,0.13,0
11530,"TOMATOES,RED,RIPE,CKD,BLD,WO_per_SALT",27,1.07,0.41,5.83,1,6,0.093,0.56,14,279,0.11,743,0,0.07,0.057,0.095,0,13,0.749,0.295,22.8,0.38,0,0.057,0.063,0.163,0
11531,"TOMATOES,RED,RIPE,CND,WHL,REG PK",19,0.92,0.13,4.37,1,30,0.11,0.55,12,221,0.16,595,0,0.045,0.031,0.09,0,7.8,0.735,0.167,14.2,0.32,0,0.019,0.02,0.051,0
11533,"TOMATOES,RED,RIPE,CND,STWD",28,0.95,0.13,6.78,1,33,0.112,0.73,12,238,0.17,541,0,0.046,0.035,0.017,0,5.4,0.714,0.114,11.4,0.38,0,0.019,0.02,0.051,0
11535,"TOMATOES,RED,RIPE,CND,WEDGES IN TOMATO JUC",26,0.79,0.16,6.31,0,26,0.104,0.46,11,251,0.16,578,0,0.056,0.028,0.117,0,10.1,0.675,0.217,14.8,0,0,0.023,0.024,0.063,0
11537,"TOMATOES,RED,RIPE,CND,W_per_GRN CHILIES",15,0.69,0.08,3.62,0,20,0.09,0.26,11,107,0.13,390,0,0.034,0.019,0.103,0,9.1,0.64,0.148,6.2,0,0,0.011,0.011,0.029,0
11540,"TOMATO JUC,CND,W_per_SALT",17,0.76,0.06,4.23,0.4,9,0.101,0.58,11,220,0.14,556,0,0.047,0.031,0.111,0,19.9,0.673,0.25,18.3,0.91,4,0.008,0.009,0.023,0
11546,"TOMATO PRODUCTS,CND,PASTE,WO_per_SALT",82,3.67,0.55,19.3,4.1,35,0.592,1.94,51,937,0.8,2445,0,0.155,0.19,0.38,0,22.4,3.223,0.753,42.4,4.3,0,0.078,0.083,0.214,0
11547,"TOMATO PRODUCTS,CND,PUREE,WO_per_SALT",40,1.69,0.16,9.56,2,17,0.163,1.24,24,426,0.22,1275,0,0.071,0.054,0.152,0,11,1.715,0.44,10.4,2.52,0,0.021,0.023,0.06,0
11548,"TOMATO POWDER",302,12.91,0.44,74.68,16.5,166,1.241,4.56,178,1927,1.71,17247,0,0.913,0.761,0.457,0,119.9,9.133,3.76,116.7,0.507,0,0.062,0.066,0.171,0
11549,"TOMATO PRODUCTS,CND,SAU",30,1.33,0.17,7.18,1.4,14,0.196,0.77,19,371,0.25,979,0,0.066,0.058,0.155,0,9.4,1.149,0.309,13.1,1.4,7,0.024,0.025,0.064,0
11551,"TOMATO PRODUCTS,CND,SAU,W_per_MUSHROOMS",35,1.45,0.13,8.43,1.5,13,0.199,0.89,19,380,0.21,955,0,0.072,0.108,0.133,0,9.4,1.265,0.367,12.4,0,0,0.017,0.01,0.048,0
11553,"TOMATO PRODUCTS,CND,SAU,W_per_ONIONS",42,1.56,0.19,9.94,1.8,17,0.181,0.93,19,413,0.23,850,0,0.073,0.133,0.267,0,22.4,1.242,0.368,12.7,0,0,0.03,0.028,0.074,0
11555,"TOMATO PRODUCTS,CND,SAU,W_per_HERBS&CHS",59,2.13,1.93,10.24,2.2,37,0.174,0.87,19,356,0.36,987,0,0.076,0.124,0.019,0,8.1,1.209,0.275,10,0,0,0.627,0.38,0.814,0
11557,"TOMATO PRODUCTS,CND,SAU,W_per_ONIONS,GRN PEPPERS,&CELERY",41,0.94,0.74,8.76,1.4,13,0.198,0.76,21,398,0.28,810,0,0.067,0.12,0.194,0,14.1,1.095,0.221,13.2,1.48,0,0.133,0.102,0.321,0
11559,"TOMATO PRODUCTS,CND,SAU,W_per_TOMATO TIDBITS",32,1.32,0.39,7.09,1.4,10,0.014,0.68,20,373,0.19,801,0,0.073,0.097,0.155,0,9.4,1.183,0.219,21.5,0,0,0.055,0.058,0.15,0
11563,"TREE FERN,CKD,WO_per_SALT",40,0.29,0.07,10.98,3.7,8,0.202,0.16,5,5,0.31,200,0,0,0.3,0.179,0,15,3.5,0.063,30,0.75,0,0.009,0.005,0.014,0
11564,"TURNIPS,RAW",27,0.9,0.1,6.23,1.8,30,0.085,0.3,11,191,0.27,0,0,0.04,0.03,0.09,0,14.5,0.4,0.2,21,0.03,0.09,0.011,0.006,0.012,0
11565,"TURNIPS,CKD,BLD,DRND,WO_per_SALT",21,0.71,0.08,4.9,2,22,0.064,0.22,8,135,0.2,0,0,0.027,0.023,0.067,0,9.2,0.299,0.142,11.6,0.03,0,0.008,0.005,0.009,0
11566,"TURNIPS,FROZEN,UNPREPARED",16,1.04,0.16,2.94,1.8,23,0.045,0.7,10,137,0.14,26,0,0.03,0.02,0.048,0,7.7,0.4,0.106,4.4,0,0,0.017,0.01,0.019,0
11567,"TURNIPS,FRZ,CKD,BLD,DRND,WO_per_SALT",23,1.53,0.24,4.35,2,32,0.063,0.98,14,182,0.2,25,0,0.035,0.028,0.067,0,8,0.56,0.141,3.9,0.03,0,0.025,0.015,0.028,0
11568,"TURNIP GREENS,RAW",27,1.5,0.3,5.73,3.2,190,0.35,1.1,31,296,0.19,7600,0,0.07,0.1,0.263,0,194.4,0.6,0.38,60,2.9,251,0.07,0.02,0.036,0
11569,"TURNIP GRNS,CKD,BLD,DRND,WO_per_SALT",20,1.14,0.23,4.36,3.5,137,0.253,0.8,22,203,0.14,5498,0,0.045,0.072,0.18,0,118.4,0.411,0.274,27.4,1.721,0,0.053,0.015,0.028,0
11570,"TURNIP GRNS,CND,SOL&LIQUIDS",14,1.36,0.3,2.42,1.7,118,0.083,1.51,20,141,0.23,3586,0,0.012,0.063,0.037,0,41.2,0.362,0.04,15.5,0,0,0.07,0.02,0.036,0
11574,"TURNIP GRNS,FRZ,UNPREP",22,2.47,0.31,3.67,2.5,118,0.057,1.51,27,184,0.17,6184,0,0.044,0.091,0.1,0,73.6,0.383,0.14,26.8,2.26,0,0.073,0.02,0.038,0
11575,"TURNIP GRNS,FRZ,CKD,BLD,DRND,WO_per_SALT",30,3.35,0.42,4.98,3.4,152,0.15,1.94,26,224,0.41,7975,0,0.054,0.074,0.067,0,39.4,0.468,0.069,21.8,2.92,0,0.099,0.028,0.051,0
11576,"TURNIP GRNS&TURNIPS,FRZ,UNPREP",21,2.46,0.19,3.4,2.4,114,0.051,1.63,18,82,0.16,6108,0,0.044,0.088,0.074,0,40.6,0.388,0.123,25.8,0,0,0.032,0.012,0.023,0
11577,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO_per_SALT",17,2.08,0.16,2.88,1.8,91,0.041,1.33,12,62,0.13,5161,0,0.03,0.07,0.058,0,21.5,0.295,0.096,9.4,0.226,0,0.027,0.01,0.019,0
11578,"VEGETABLE JUC COCKTAIL,CND",19,0.63,0.09,4.55,0.8,11,0.2,0.42,11,193,0.2,1170,0,0.043,0.028,0.14,0,21.1,0.726,0.266,27.7,0.32,0,0.013,0.014,0.036,0
11579,"VEGETABLES,MXD,CND,SOL&LIQUIDS",36,1.42,0.25,7.12,3.8,21,0.104,0.65,15,138,0.51,5081,0,0.034,0.04,0.077,0,18,0.482,0.114,3.8,0.451,0,0.051,0.016,0.088,0
11581,"VEGETABLES,MXD,CND,DRND SOL",47,2.59,0.25,9.26,3,27,0.073,1.05,16,291,0.41,11647,0,0.046,0.048,0.079,0,23.6,0.577,0.143,5,0.6,0,0.051,0.016,0.087,0
11583,"VEGETABLES,MXD,FRZ,UNPREP",64,3.33,0.52,13.46,4,25,0.093,0.95,24,212,0.45,5078,0,0.122,0.085,0.096,0,29,1.252,0.163,10.4,0.3,0,0.098,0.031,0.173,0
11584,"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO_per_SALT",59,2.86,0.15,13.09,4.4,25,0.083,0.82,22,169,0.49,4277,0,0.071,0.12,0.074,0,19,0.851,0.151,3.2,0.36,0,0.031,0.01,0.053,0
11587,"VINESPINACH,(BASELLA),RAW",19,1.8,0.3,3.4,0,109,0.107,1.2,65,510,0.43,8000,0,0.05,0.155,0.24,0,140.1,0.5,0.053,102,0,0,0,0,0,0
11588,"WATERCHESTNUTS,CHINESE,(MATAI),RAW",97,1.4,0.1,23.94,3,11,0.326,0.06,22,584,0.5,0,0,0.14,0.2,0.328,0,16.1,1,0.479,4,1.2,0,0.026,0.002,0.032,0
11590,"WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS",50,0.88,0.06,12.43,2.5,4,0.1,0.87,5,118,0.38,4,0,0.011,0.024,0.159,0,5.8,0.36,0.221,1.3,0.5,0,0.016,0.001,0.019,0
11591,"WATERCRESS,RAW",11,2.3,0.1,1.29,1.5,120,0.077,0.2,21,330,0.11,4700,0,0.09,0.12,0.129,0,9.2,0.2,0.31,43,1,250,0.027,0.008,0.012,0
11593,"WAXGOURD,(CHINESE PRESERVING MELON),RAW",13,0.4,0.2,3,2.9,19,0.023,0.4,10,6,0.61,0,0,0.04,0.11,0.035,0,5.2,0.4,0.133,13,0,0,0.016,0.037,0.087,0
11594,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO_per_SALT",13,0.4,0.2,3.03,1,18,0.022,0.38,10,5,0.59,0,0,0.034,0.001,0.032,0,3.7,0.384,0.121,10.5,0.39,0,0.016,0.037,0.088,0
11595,"WINGED BNS,IMMAT SEEDS,RAW",49,6.95,0.87,4.31,0,84,0.051,1.5,34,223,0.39,128,0,0.14,0.1,0.113,0,65.7,0.9,0.059,18.3,0,0,0.238,0.25,0.164,0
11596,"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO_per_SALT",38,5.31,0.66,3.21,0,61,0.037,1.09,30,274,0.28,88,0,0.086,0.072,0.082,0,35.1,0.652,0.041,9.8,0,0,0.181,0.189,0.125,0
11597,"WINGED BEAN LEAVES,RAW",74,5.85,1.1,14.1,0,224,0.456,4,8,176,1.28,8090,0,0.833,0.602,0.232,0,15.5,3.472,0.136,45,0,0,0.272,0.285,0.187,0
11599,"WINGED BEAN TUBER,RAW",148,11.6,0.9,28.1,0,30,1.386,2,24,586,1.39,0,0,0.379,0.149,0.075,0,19,1.64,0.116,0,0,0,0.222,0.234,0.153,0
11601,"YAM,RAW",118,1.53,0.17,27.89,4.1,17,0.178,0.54,21,816,0.24,0,0,0.112,0.032,0.293,0,23,0.552,0.314,17.1,0.16,0,0.037,0.006,0.064,0
11602,"YAM,CKD,BLD,DRND,OR BKD,WO_per_SALT",116,1.49,0.14,27.6,3.9,14,0.152,0.52,18,670,0.2,0,0,0.095,0.028,0.228,0,16,0.552,0.311,12.1,0.16,0,0.029,0.005,0.05,0
11603,"YAMBEAN (JICAMA),RAW",38,0.72,0.09,8.82,4.9,12,0.048,0.6,12,150,0.16,21,0,0.02,0.029,0.042,0,12,0.2,0.135,20.2,0.457,0,0.021,0.005,0.029,0
