sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
17050,"LAMB,DOM,SHLDR,ARM,LN,1_per_4""FAT,CHOIC,CKD,RSTD",192,25.46,9.26,0,0,16,0.12,2.23,26,277,5.25,0,0,0.1,0.27,0.14,2.61,25,6.34,0.74,0,0.17,0,3.59,3.76,0.6,0
17051,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1_per_4""FAT,CHOIC,RAW",259,16.63,20.86,0,0,17,0.096,1.48,21,229,4.28,0,0,0.11,0.2,0.14,2.59,19,5.43,0.67,0,0.22,0,8.93,8.54,1.23,0
17052,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRSD",345,28.51,24.73,0,0,27,0.121,2.35,24,243,6.86,0,0,0.06,0.21,0.11,2.83,18,6.04,0.61,0,0.16,0,10.29,10.1,1.5,0
17053,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRLD",278,23.08,19.94,0,0,24,0.122,1.72,24,336,5.62,0,0,0.09,0.25,0.15,2.73,18,6.38,0.67,0,0.15,0,8.18,8.46,1.08,0
17054,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",281,22.25,20.61,0,0,21,0.106,1.92,22,246,5.58,0,0,0.09,0.23,0.11,2.67,21,5.91,0.69,0,0.14,0,8.64,8.42,1.24,0
17055,"LAMB,DOM,SHLDR,BLADE,LN,1_per_4""FAT,CHOIC,RAW",151,19.29,7.63,0,0,16,0.107,1.62,24,268,5.11,0,0,0.12,0.22,0.16,2.83,23,5.19,0.7,0,0.22,0,2.73,3.07,0.52,0
17056,"LAMB,DOM,SHLDR,BLADE,LN,1_per_4""FAT,CHOIC,CKD,BRSD",288,32.35,16.64,0,0,28,0.128,2.6,26,254,8.06,0,0,0.06,0.22,0.12,2.94,21,5.63,0.61,0,0.2,0,6.37,6.74,1.09,0
17057,"LAMB,DOM,SHLDR,BLADE,LN,1_per_4""FAT,CHOIC,CKD,BRLD",211,25.48,11.32,0,0,24,0.129,1.81,26,368,6.48,0,0,0.1,0.26,0.17,2.81,21,6.07,0.69,0,0.17,0,4.04,4.96,0.6,0
17058,"LAMB,DOM,SHLDR,BLADE,LN,1_per_4""FAT,CHOIC,CKD,RSTD",209,24.61,11.57,0,0,21,0.11,2.07,25,258,6.48,0,0,0.09,0.25,0.15,2.74,25,5.47,0.72,0,0.17,0,4.34,4.68,0.77,0
17059,"LAMB,DOM,CUBED FOR STEW OR KABOB (LEG&SHLDR),LN,1_per_4""FAT,RAW",134,20.21,5.28,0,0,9,0.121,1.77,26,284,4.15,0,0,0.13,0.24,0.16,2.73,23,5.95,0.71,0,0.22,0,1.89,2.13,0.36,0
17060,"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1_per_4""FAT,CKD,BRSD",223,33.69,8.8,0,0,15,0.141,2.8,28,260,6.58,0,0,0.07,0.24,0.12,2.73,21,5.95,0.59,0,0.2,0,3.15,3.54,0.6,0
17061,"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1_per_4""FAT,CKD,BRLD",186,28.08,7.33,0,0,13,0.151,2.34,31,335,5.77,0,0,0.11,0.3,0.14,3.03,23,6.61,0.69,0,0.2,0,2.62,2.95,0.5,0
17062,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,RAW",277,16.74,22.74,0,0,13,0.083,1.49,15,136,2.39,0,0,0.13,0.32,0.11,2.42,1,6.55,0.52,0,0.21,0,11.57,8.72,0.55,0
17063,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,CKD",305,24.42,22.26,0,0,17,0.1,2.1,19,162,3.49,0,0,0.12,0.41,0.12,2.81,1,7.77,0.58,0,0.14,0,11.05,8.59,0.61,0
17064,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,RAW",128,20.75,4.41,0,0,8,0.099,1.64,19,171,3.01,0,0,0.15,0.39,0.14,2.71,0,6.54,0.49,0,0.21,0,1.88,1.69,0.13,0
17065,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,CKD",206,29.59,8.86,0,0,13,0.114,2.35,22,188,4.3,0,0,0.13,0.5,0.14,2.95,0,7.68,0.58,0,0.19,0,3.86,3.48,0.34,0
17066,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,RAW",640,6.92,67.63,0,0,23,0.045,1.14,6,51,0.85,0,0,0.07,0.17,0.03,1.73,3,6.56,0.6,0,0.22,0,35.29,25.93,1.56,0
17067,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,CKD",586,9.72,60.39,0,0,27,0.059,1.39,11,87,1.17,0,0,0.08,0.18,0.03,2.42,3,8.03,0.59,0,0.04,0,31.51,23.15,1.39,0
17068,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,RAW",223,18.04,16.15,0,0,10,0.095,1.49,15,131,3.37,0,0,0.13,0.36,0.11,2.53,1,6.3,0.51,0,0.26,0,8.18,6.19,0.39,0
17069,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,CKD,BRSD",258,26.97,15.83,0,0,14,0.102,2.07,15,118,4.8,0,0,0.07,0.33,0.08,2.44,1,6.07,0.41,0,0.18,0,7.82,6.1,0.43,0
